"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C5,C8","2u2","","e-radionica.com footprinti:0603C","4",""
"C3,C7,C9","10u","","e-radionica.com footprinti:1206C","3",""
"C4","1u","","e-radionica.com footprinti:0603C","1",""
"C6,C10","100n","","e-radionica.com footprinti:0603C","2",""
"D1","purple","","e-radionica.com footprinti:0402LED","1",""
"DM1","SKU: 700204","","Soldered footprints:PCB","1",""
"K1,K2","easyC-SMD","","e-radionica.com footprinti:easyC-connector","2",""
"K3","HEADER_MALE_4X1","","e-radionica.com footprinti:HEADER_MALE_4X1","1",""
"R1,R2,R3,R4,R6,R7,R8","10k","","e-radionica.com footprinti:0603R","7",""
"R5","2k2","","e-radionica.com footprinti:0402R","1",""
"R9","390k","","e-radionica.com footprinti:0603R","1",""
"U1","NMOS-DUAL","","e-radionica.com footprinti:SOT-363","1",""
"U2","SE5218","","e-radionica.com footprinti:SOT-23-5","1",""
"U3","OLED_GME12864_30p-WHITE","","e-radionica.com footprinti:OLED_GME128x64_30p","1",""
